  PID TTY      STAT   TIME COMMAND
20605 pts/4    R+     0:00 ./prog1
20606 pts/4    R+     0:00 ./prog1
20607 pts/4    R+     0:00 ./prog1
20608 pts/4    R+     0:00 ./prog1
20609 pts/4    R+     0:00 ./prog1
20610 pts/4    R+     0:00 ./prog1
20611 pts/4    R+     0:00 ./prog1
20612 pts/4    R+     0:00 ./prog1
20613 pts/4    R+     0:00 ./prog1
20614 pts/4    R+     0:00 ./prog1
20615 pts/4    R+     0:00 ./prog1
20616 pts/4    R+     0:00 ./prog1
20617 pts/4    R+     0:00 ./prog1
20618 pts/4    R+     0:00 ./prog1
20619 pts/4    R+     0:00 ./prog1
20620 pts/4    R+     0:00 ./prog1
20621 pts/4    R+     0:00 ./prog1
20622 pts/4    R+     0:00 ./prog1
20623 pts/4    R+     0:00 ./prog1
20624 pts/4    R+     0:00 ./prog1
20625 pts/4    R+     0:00 ./prog1
20626 pts/4    R+     0:00 ./prog1
20627 pts/4    R+     0:00 ./prog1
20628 pts/4    R+     0:00 ./prog1
20629 pts/4    R+     0:00 ./prog1
20630 pts/4    R+     0:00 ./prog1
20631 pts/4    R+     0:00 ./prog1
20632 pts/4    R+     0:00 ./prog1
20633 pts/4    R+     0:00 ./prog1
20634 pts/4    R+     0:00 ./prog1
20635 pts/4    R+     0:00 ./prog1
20636 pts/4    R+     0:00 ./prog1
20637 pts/4    R+     0:00 ./prog1
20638 pts/4    R+     0:00 ./prog1
20639 pts/4    R+     0:00 ./prog1
20640 pts/4    R+     0:00 ./prog1
20641 pts/4    R+     0:00 ./prog1
20642 pts/4    R+     0:00 ./prog1
20643 pts/4    R+     0:00 ./prog1
20644 pts/4    R+     0:00 ./prog1
20645 pts/4    R+     0:00 ./prog1
20646 pts/4    R+     0:00 ./prog1
20647 pts/4    R+     0:00 ./prog1
20648 pts/4    R+     0:00 ./prog1
20649 pts/4    R+     0:00 ./prog1
20650 pts/4    R+     0:00 ./prog1
20651 pts/4    R+     0:00 ./prog1
20652 pts/4    R+     0:00 ./prog1
20653 pts/4    R+     0:00 ./prog1
20654 pts/4    R+     0:00 ./prog1
20655 pts/4    R+     0:00 ./prog1
20656 pts/4    R+     0:00 ./prog1
20657 pts/4    R+     0:00 ./prog1
20658 pts/4    R+     0:00 ./prog1
20659 pts/4    R+     0:00 ./prog1
20660 pts/4    R+     0:00 ./prog1
20661 pts/4    R+     0:00 ./prog1
20662 pts/4    R+     0:00 ./prog1
20663 pts/4    R+     0:00 ./prog1
20664 pts/4    R+     0:00 ./prog1
20665 pts/4    R+     0:00 ./prog1
20666 pts/4    R+     0:00 ./prog1
20667 pts/4    R+     0:00 ./prog1
20668 pts/4    R+     0:00 ./prog1
20669 pts/4    R+     0:00 ./prog1
20670 pts/4    R+     0:00 ./prog1
20671 pts/4    R+     0:00 ./prog1
20672 pts/4    R+     0:00 ./prog1
20673 pts/4    R+     0:00 ./prog1
20674 pts/4    R+     0:00 ./prog1
20675 pts/4    R+     0:00 ./prog1
20676 pts/4    R+     0:00 ./prog1
20677 pts/4    R+     0:00 ./prog1
20678 pts/4    R+     0:00 ./prog1
20679 pts/4    R+     0:00 ./prog1
20680 pts/4    R+     0:00 ./prog1
20681 pts/4    R+     0:00 ./prog1
20682 pts/4    R+     0:00 ./prog1
20683 pts/4    R+     0:00 ./prog1
20684 pts/4    R+     0:00 ./prog1
20685 pts/4    R+     0:00 ./prog1
20686 pts/4    R+     0:00 ./prog1
20687 pts/4    R+     0:00 ./prog1
20688 pts/4    R+     0:00 ./prog1
20689 pts/4    R+     0:00 ./prog1
20690 pts/4    R+     0:00 ./prog1
20691 pts/4    R+     0:00 ./prog1
20692 pts/4    R+     0:00 ./prog1
20693 pts/4    R+     0:00 ./prog1
20694 pts/4    R+     0:00 ./prog1
20695 pts/4    R+     0:00 ./prog1
20696 pts/4    R+     0:00 ./prog1
20697 pts/4    R+     0:00 ./prog1
20698 pts/4    R+     0:00 ./prog1
20699 pts/4    R+     0:00 ./prog1
20700 pts/4    R+     0:00 ./prog1
20701 pts/4    R+     0:00 ./prog1
20702 pts/4    R+     0:00 ./prog1
20703 pts/4    R+     0:00 ./prog1
20704 pts/4    R+     0:00 ./prog1
20705 pts/4    R+     0:00 ./prog1
20706 pts/4    R+     0:00 ./prog1
20707 pts/4    R+     0:00 ./prog1
20708 pts/4    R+     0:00 ./prog1
20709 pts/4    R+     0:00 ./prog1
20710 pts/4    R+     0:00 ./prog1
20711 pts/4    R+     0:00 ./prog1
20712 pts/4    R+     0:00 ./prog1
20713 pts/4    R+     0:00 ./prog1
20714 pts/4    R+     0:00 ./prog1
20715 pts/4    R+     0:00 ./prog1
